time_min,vehicle_power_kw,dc_bus_voltage_v,current_a,efficiency,loss_kw,temperature_c,soc
0.0,200,796.25,250.0,0.958469387755102,8.666027893111883,25.0,0.35
0.1,200,796.25,250.0,0.958469387755102,8.666027893111883,25.103992334717343,0.3506666666666666
0.2,200,796.25,250.0,0.958469387755102,8.666027893111883,25.207291387203238,0.3513333333333333
0.30000000000000004,200,796.25,250.0,0.958469387755102,8.666027893111883,25.309901779339224,0.3519999999999999
0.4,200,796.25,250.0,0.958469387755102,8.666027893111883,25.411828102194306,0.3526666666666666
0.5,200,796.25,250.0,0.958469387755102,8.666027893111883,25.513074916230355,0.3533333333333332
0.6000000000000001,200,796.25,250.0,0.958469387755102,8.666027893111883,25.613646751506163,0.35399999999999987
0.7000000000000001,200,796.25,250.0,0.958469387755102,8.666027893111883,25.713548107880133,0.3546666666666665
0.8,200,796.25,250.0,0.958469387755102,8.666027893111883,25.81278345521161,0.35533333333333317
0.9,200,796.25,250.0,0.958469387755102,8.666027893111883,25.911357233560874,0.3559999999999998
1.0,200,796.25,250.0,0.958469387755102,8.666027893111883,26.00927385338781,0.35666666666666647
1.1,200,796.25,250.0,0.958469387755102,8.666027893111883,26.106537695749235,0.3573333333333331
1.2000000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,26.203153112494917,0.35799999999999976
1.3,200,796.25,250.0,0.958469387755102,8.666027893111883,26.299124426462292,0.3586666666666664
1.4000000000000001,200,796.25,250.0,0.958469387755102,8.666027893111883,26.394455931669885,0.35933333333333306
1.5,200,796.25,250.0,0.958469387755102,8.666027893111883,26.48915189350943,0.3599999999999997
1.6,200,796.25,250.0,0.958469387755102,8.666027893111883,26.583216548936708,0.36066666666666636
1.7000000000000002,200,796.25,250.0,0.958469387755102,8.666027893111883,26.67665410666114,0.361333333333333
1.8,200,796.25,250.0,0.958469387755102,8.666027893111883,26.769468747334074,0.36199999999999966
1.9000000000000001,200,796.25,250.0,0.958469387755102,8.666027893111883,26.861664623735855,0.3626666666666663
2.0,200,796.25,250.0,0.958469387755102,8.666027893111883,26.953245860961626,0.36333333333333295
2.1,200,796.25,250.0,0.958469387755102,8.666027893111883,27.044216556605893,0.3639999999999996
2.2,200,796.25,250.0,0.958469387755102,8.666027893111883,27.134580780945864,0.36466666666666625
2.3000000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,27.22434257712357,0.3653333333333329
2.4000000000000004,200,796.25,250.0,0.958469387755102,8.666027893111883,27.313505961326754,0.36599999999999955
2.5,200,796.25,250.0,0.958469387755102,8.666027893111883,27.402074922968584,0.3666666666666662
2.6,200,796.25,250.0,0.958469387755102,8.666027893111883,27.490053424866137,0.36733333333333285
2.7,200,796.25,250.0,0.958469387755102,8.666027893111883,27.577445403417705,0.3679999999999995
2.8000000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,27.66425476877893,0.36866666666666614
2.9000000000000004,200,796.25,250.0,0.958469387755102,8.666027893111883,27.750485405037747,0.3693333333333328
3.0,200,796.25,250.0,0.958469387755102,8.666027893111883,27.83614117038817,0.36999999999999944
3.1,200,796.25,250.0,0.958469387755102,8.666027893111883,27.921225897302925,0.3706666666666661
3.2,200,796.25,250.0,0.958469387755102,8.666027893111883,28.005743392704915,0.37133333333333274
3.3000000000000003,200,796.25,250.0,0.958469387755102,8.666027893111883,28.08969743813756,0.3719999999999994
3.4000000000000004,200,796.25,250.0,0.958469387755102,8.666027893111883,28.173091789933984,0.37266666666666604
3.5,200,796.25,250.0,0.958469387755102,8.666027893111883,28.2559301793851,0.3733333333333327
3.6,200,796.25,250.0,0.958469387755102,8.666027893111883,28.338216312906543,0.37399999999999933
3.7,200,796.25,250.0,0.958469387755102,8.666027893111883,28.41995387220451,0.374666666666666
